City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1121,Talcahuano,CL,38.88,broken clouds,-36.7167,-73.1167,departamento comodo
1122,Smithers,CA,52.12,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
1136,Ancud,CL,42.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
1145,Fairbanks,US,55.36,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
1149,Lebu,CL,44.76,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
1151,Roald,NO,58.12,scattered clouds,62.5833,6.1333,Flem Cabins
1158,Port Hedland,AU,55.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
1159,Mareeba,AU,48.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
1167,Mets Masrik,AM,59.32,clear sky,40.2183,45.7681,GRIG hotel
1171,Vestmannaeyjar,IS,52.79,few clouds,63.4427,-20.2734,Glamping & Camping
1173,Mnogovershinnyy,RU,56.08,broken clouds,53.9353,139.9242,Obshchezhitiye 14
1176,Adelaide,AU,48.29,clear sky,-34.9333,138.6,The Chancellor on Currie
1185,Kenai,US,55.15,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
1189,Roros,NO,44.44,overcast clouds,62.5747,11.3842,Erzscheidergården
1193,Darhan,MN,56.84,broken clouds,49.4867,105.9228,Buudai Hotel
1205,Kolpashevo,RU,52.36,broken clouds,58.3131,82.9089,Gostinitsa Legenda
1210,Concepcion,CL,39.0,broken clouds,-36.827,-73.0498,Hotel El Araucano
1220,La Ligua,CL,49.51,light rain,-32.4524,-71.2311,Hotel Anchimallen
1223,Yeppoon,AU,44.38,clear sky,-23.1333,150.7333,Villa Mar Colina
1225,Honningsvag,NO,56.95,few clouds,70.9821,25.9704,Nordkapp Vandrerhjem
1233,Burnie,AU,47.95,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
1241,Masvingo,ZW,59.72,clear sky,-20.0637,30.8277,River Side Lodge
1249,Sananduva,BR,59.2,moderate rain,-27.9497,-51.8067,São José Palace Hotel
1257,Norman Wells,CA,48.24,light intensity drizzle,65.282,-126.8329,Heritage Hotel
1265,Victoria Point,AU,52.92,scattered clouds,-27.5833,153.3,Bay Retreat Motel
1267,Pangody,RU,58.32,scattered clouds,65.85,74.4859,Elizaveta Shevchuk's House
1269,Ngunguru,NZ,53.26,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
1272,Mount Isa,AU,49.77,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
1273,Cherskiy,RU,38.37,scattered clouds,68.75,161.3,Gostinitsa
1287,Bulgan,MN,53.55,clear sky,48.8125,103.5347,Unitel Булган салбар
1296,Broken Hill,AU,41.18,clear sky,-31.95,141.4333,Royal Exchange Hotel
1308,Nemuro,JP,59.56,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
1317,Murray Bridge,AU,46.13,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
1318,Langevag,NO,57.92,scattered clouds,62.4375,6.1892,Quality Hotel Waterfront
1320,Kirensk,RU,54.52,light rain,57.7853,108.1119,Kirenskiy Plos
1322,San Rafael,AR,51.51,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
1333,Andilamena,MG,55.2,scattered clouds,-17.0167,48.5833,Police men home Andilamina
1334,Neuquen,AR,40.89,light rain,-38.9516,-68.0591,Hotel del Comahue
1339,Vagamo,NO,51.84,overcast clouds,61.8751,9.0967,Vågå hotel
1341,Calvinia,ZA,49.23,few clouds,-31.4707,19.776,Die Lemoenhuis
1352,Mirnyy,RU,57.96,overcast clouds,62.5353,113.9611,квартира
1366,Mount Gambier,AU,46.31,overcast clouds,-37.8333,140.7667,The Commodore
1372,Nuuk,GL,56.01,few clouds,64.1835,-51.7216,Vandrehuset
1378,Vanderhoof,CA,57.94,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
1400,Altay,CN,56.57,clear sky,47.8667,88.1167,Jinqiao Hotel
1401,Yulara,AU,45.41,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
1403,Diego De Almagro,CL,51.3,scattered clouds,-26.3667,-70.05,hotel luna del desierto
1405,Haines Junction,CA,49.95,broken clouds,60.7522,-137.5108,Parkside Inn
1424,Tasiilaq,GL,41.67,broken clouds,65.6145,-37.6368,The Red House
1429,Taseyevo,RU,55.81,broken clouds,57.2169,94.8978,Gostinitsa Taseyevo
