City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Gabu,GW,12.2833,-14.2167,85.78,72,100,5.64,
242,Sozimskiy,RU,59.7418,52.2482,68.58,93,91,3.22,
243,Bubaque,GW,11.2833,-15.8333,80.28,80,90,9.17,
244,Aktas,KZ,49.7789,72.9608,73.15,31,7,6.11,
245,Berlevag,NO,70.8578,29.0864,69.6,87,0,3.44,
246,Black River,JM,18.0264,-77.8487,87.8,56,15,5.26,
247,Newport,GB,51.5877,-2.9984,75.92,45,55,14.7,
248,Juybar,IR,36.6412,52.9124,89.76,64,0,5.88,
249,Boa Vista,BR,2.8197,-60.6733,80.58,65,75,21.85,
250,Iqaluit,CA,63.7506,-68.5145,46.13,81,40,5.75,
251,Vaitape,PF,-16.5167,-151.75,77.29,74,48,25.08,
252,Mgandu,TZ,-5.95,34.1333,69.69,40,5,6.76,
253,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,100,100,2.24,
254,Dingle,PH,10.9995,122.6711,76.14,92,44,1.68,
255,San Isidro,PE,-12.1167,-77.05,60.39,77,100,8.05,
256,Nelson Bay,AU,-32.7167,152.15,53.01,84,91,18.41,
257,Mokokchung,IN,26.3333,94.5333,68.43,97,0,3.98,
258,Acajutla,SV,13.5928,-89.8275,83.53,66,100,1.3,
259,Barabinsk,RU,55.3571,78.357,62.62,60,100,8.03,
260,Pipri,IN,19.8,75.5333,75.78,88,75,6.91,
261,Aripuana,BR,-9.1667,-60.6333,94.48,28,6,3.0,
262,Morondava,MG,-20.2833,44.2833,74.59,65,0,16.49,
263,Tshela,CD,-4.9833,12.9333,87.49,39,29,3.15,
264,Guiratinga,BR,-16.3494,-53.7583,90.21,20,46,12.03,
265,Guerrero Negro,MX,27.9769,-114.0611,68.76,73,24,13.4,
266,Xining,CN,36.6167,101.7667,64.08,91,100,4.41,
267,Shelburne,CA,44.0787,-80.2041,74.75,36,4,9.08,
268,Tuburan,PH,6.6439,122.2736,77.09,79,96,5.66,
269,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,75,11.5,
270,Byron Bay,AU,-28.65,153.6167,52.95,83,81,14.54,
271,Port Lincoln,AU,-34.7333,135.8667,50.86,73,40,11.79,
272,North Bend,US,43.4065,-124.2243,60.93,93,40,8.05,
273,Batticaloa,LK,7.7102,81.6924,83.44,59,40,14.29,
274,Kaitangata,NZ,-46.2817,169.8464,38.59,94,95,6.49,
